players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
38,26.2,64.2,38,418,3420,38,68,52,120,62,6,7,97,5,63.4,57.9,47.6,105.5,961,2079,1.79,1.37,3.16,1.63,3.0,1.67,1.25,2.92,1.52,2.78,/en/squads/206d90db/2021-2022/Barcelona-Stats
31,28.9,53.7,38,418,3420,38,60,45,105,54,6,6,87,6,53.5,48.8,37.7,86.5,666,1518,1.58,1.18,2.76,1.42,2.61,1.41,0.99,2.4,1.29,2.28,/en/squads/fc536746/2021-2022/Real-Betis-Stats
25,28.4,55.2,38,418,3420,38,43,29,72,40,3,6,87,3,43.1,38.3,28.8,67.2,665,1447,1.13,0.76,1.89,1.05,1.82,1.13,0.76,1.89,1.01,1.77,/en/squads/f25da7fb/2021-2022/Celta-Vigo-Stats
33,28.5,41.3,38,418,3420,38,35,21,56,32,3,6,105,3,39.5,34.8,24.6,59.4,571,1080,0.92,0.55,1.47,0.84,1.39,1.04,0.65,1.69,0.91,1.56,/en/squads/ee7c297c/2021-2022/Cadiz-Stats
28,29.1,48.4,38,418,3420,38,39,29,68,38,1,1,104,6,33.7,32.9,27.6,60.5,531,1102,1.03,0.76,1.79,1.0,1.76,0.89,0.73,1.61,0.86,1.59,/en/squads/6c8b07df/2021-2022/Elche-Stats
34,27.7,46.9,38,418,3420,38,39,25,64,34,5,5,99,7,36.7,32.9,25.8,58.7,610,1212,1.03,0.66,1.68,0.89,1.55,0.97,0.68,1.65,0.87,1.55,/en/squads/a8661628/2021-2022/Espanyol-Stats
31,26.6,41.5,38,418,3420,38,31,26,57,28,3,5,121,8,29.3,25.3,19.4,44.7,399,917,0.82,0.68,1.5,0.74,1.42,0.77,0.51,1.28,0.67,1.18,/en/squads/7848bd64/2021-2022/Getafe-Stats
32,28.1,44.7,38,418,3420,38,43,28,71,40,3,5,105,4,39.0,35.1,26.7,61.8,435,1047,1.13,0.74,1.87,1.05,1.79,1.03,0.7,1.73,0.92,1.63,/en/squads/a0435291/2021-2022/Granada-Stats
31,28.0,47.2,38,418,3420,38,51,34,85,43,8,13,109,6,55.1,45.1,31.7,76.9,569,1343,1.34,0.89,2.24,1.13,2.03,1.45,0.84,2.28,1.19,2.02,/en/squads/9800b6a1/2021-2022/Levante-Stats
33,27.9,45.3,38,418,3420,38,33,23,56,27,6,7,114,7,38.8,33.3,25.7,59.0,575,1129,0.87,0.61,1.47,0.71,1.32,1.02,0.68,1.7,0.88,1.55,/en/squads/2aa12281/2021-2022/Mallorca-Stats
29,27.7,46.9,38,418,3420,38,37,23,60,31,6,8,84,2,36.7,30.7,22.9,53.6,417,1328,0.97,0.61,1.58,0.82,1.42,0.96,0.6,1.57,0.81,1.41,/en/squads/03c57e2b/2021-2022/Osasuna-Stats
28,27.5,49.9,38,418,3420,38,38,28,66,34,4,4,101,3,42.8,39.7,30.7,70.3,697,1312,1.0,0.74,1.74,0.89,1.63,1.13,0.81,1.93,1.04,1.85,/en/squads/98e8af82/2021-2022/Rayo-Vallecano-Stats
31,27.7,59.9,38,418,3420,38,80,59,139,72,8,12,76,0,71.7,62.2,50.7,112.9,1029,2078,2.11,1.55,3.66,1.89,3.45,1.89,1.33,3.22,1.64,2.97,/en/squads/53a2f082/2021-2022/Real-Madrid-Stats
32,25.7,54.3,38,418,3420,38,40,22,62,31,9,10,77,4,51.5,43.8,32.9,76.7,667,1462,1.05,0.58,1.63,0.82,1.39,1.36,0.87,2.22,1.15,2.02,/en/squads/e31d1cd9/2021-2022/Real-Sociedad-Stats
33,28.6,59.4,38,418,3420,38,51,40,91,49,2,3,97,4,42.4,40.0,32.5,72.5,625,1596,1.34,1.05,2.39,1.29,2.34,1.12,0.86,1.97,1.05,1.91,/en/squads/ad2be733/2021-2022/Sevilla-Stats
34,24.8,43.6,38,418,3420,38,45,30,75,37,8,9,134,8,39.0,32.2,25.4,57.6,554,1202,1.18,0.79,1.97,0.97,1.76,1.03,0.67,1.69,0.85,1.52,/en/squads/dcc91a7b/2021-2022/Valencia-Stats
29,28.0,56.8,38,418,3420,38,62,51,113,57,5,6,81,1,64.2,60.0,50.9,110.9,790,1698,1.63,1.34,2.97,1.5,2.84,1.69,1.34,3.03,1.58,2.92,/en/squads/2a8183b3/2021-2022/Villarreal-Stats
27,27.4,45.6,28,308,2520,28,30,20,50,27,3,5,59,4,27.4,23.4,16.9,40.4,384,1013,1.07,0.71,1.79,0.96,1.68,0.98,0.6,1.58,0.84,1.44,/en/squads/25622401/2019-2020/Amiens-Stats
26,28.0,45.3,28,308,2520,28,27,21,48,26,1,1,43,2,29.3,28.5,23.0,51.5,542,1088,0.96,0.75,1.71,0.93,1.68,1.05,0.82,1.87,1.02,1.84,/en/squads/69236f98/2019-2020/Angers-Stats
26,26.9,53.6,28,308,2520,28,40,29,69,38,2,2,55,0,30.4,28.8,21.6,50.4,441,995,1.43,1.04,2.46,1.36,2.39,1.08,0.77,1.86,1.03,1.8,/en/squads/123f3efe/2019-2020/Bordeaux-Stats
24,26.1,49.8,28,308,2520,28,32,27,59,31,1,5,45,2,30.7,26.8,22.1,48.9,415,1138,1.14,0.96,2.11,1.11,2.07,1.1,0.79,1.89,0.96,1.75,/en/squads/fb08dbb3/2019-2020/Brest-Stats
28,26.9,46.5,28,308,2520,28,26,17,43,25,1,1,43,2,30.5,29.9,22.9,52.8,513,909,0.93,0.61,1.54,0.89,1.5,1.09,0.82,1.91,1.07,1.88,/en/squads/8dfb7350/2019-2020/Dijon-Stats
25,24.3,52.9,28,308,2520,28,35,25,60,30,5,8,51,3,40.3,34.0,24.5,58.5,544,1077,1.25,0.89,2.14,1.07,1.96,1.44,0.88,2.31,1.21,2.09,/en/squads/cb188c0c/2019-2020/Lille-Stats
27,24.8,56.2,28,308,2520,28,42,29,71,37,5,6,50,4,37.6,33.0,25.2,58.2,563,1208,1.5,1.04,2.54,1.32,2.36,1.34,0.9,2.24,1.18,2.08,/en/squads/d53c0b06/2019-2020/Lyon-Stats
23,27.1,53.5,28,308,2520,28,38,28,66,34,4,6,68,3,36.2,31.6,25.8,57.5,639,1107,1.36,1.0,2.36,1.21,2.21,1.29,0.92,2.22,1.13,2.05,/en/squads/5725cc7b/2019-2020/Marseille-Stats
24,25.9,45.3,28,308,2520,28,27,20,47,25,2,4,45,4,27.1,24.0,18.0,41.9,578,845,0.96,0.71,1.68,0.89,1.61,0.97,0.64,1.61,0.86,1.5,/en/squads/f83960ae/2019-2020/Metz-Stats
28,26.0,50.9,28,308,2520,28,44,29,73,40,4,4,61,10,48.9,45.7,33.1,78.8,646,1302,1.57,1.04,2.61,1.43,2.46,1.74,1.18,2.93,1.63,2.82,/en/squads/fd6114db/2019-2020/Monaco-Stats
27,28.5,47.6,28,308,2520,28,33,19,52,31,2,5,57,5,35.3,31.3,23.2,54.6,425,1104,1.18,0.68,1.86,1.11,1.79,1.26,0.83,2.09,1.12,1.95,/en/squads/281b0e73/2019-2020/Montpellier-Stats
29,25.4,48.0,28,308,2520,28,23,16,39,21,2,2,52,2,30.2,28.7,23.6,52.4,548,1034,0.82,0.57,1.39,0.75,1.32,1.08,0.84,1.92,1.03,1.87,/en/squads/d7a486cd/2019-2020/Nantes-Stats
31,23.9,54.6,28,308,2520,28,41,30,71,36,5,5,58,7,35.7,31.9,24.9,56.8,499,1260,1.46,1.07,2.54,1.29,2.36,1.28,0.89,2.17,1.14,2.03,/en/squads/132ebc33/2019-2020/Nice-Stats
28,25.4,45.0,28,308,2520,28,29,20,49,27,2,2,44,6,30.3,28.7,22.2,50.9,421,959,1.04,0.71,1.75,0.96,1.68,1.08,0.79,1.87,1.03,1.82,/en/squads/1cbf5f9e/2019-2020/Nimes-Stats
31,27.2,65.2,27,297,2430,27,71,51,122,65,6,8,51,1,74.2,67.9,54.4,122.3,711,1681,2.63,1.89,4.52,2.41,4.3,2.75,2.01,4.76,2.51,4.53,/en/squads/e2d8892c/2019-2020/Paris-Saint-Germain-Stats
26,25.3,48.9,28,308,2520,28,26,16,42,21,5,5,57,5,30.6,26.7,22.1,48.9,597,1042,0.93,0.57,1.5,0.75,1.32,1.09,0.79,1.88,0.96,1.75,/en/squads/7fdd64e0/2019-2020/Reims-Stats
26,25.5,49.6,28,308,2520,28,37,26,63,34,3,5,51,1,37.1,33.4,25.6,59.0,557,936,1.32,0.93,2.25,1.21,2.14,1.33,0.91,2.24,1.19,2.11,/en/squads/b3072e00/2019-2020/Rennes-Stats
31,27.0,48.2,28,308,2520,28,28,20,48,23,5,5,61,3,31.4,27.6,20.2,47.8,515,979,1.0,0.71,1.71,0.82,1.54,1.12,0.72,1.84,0.99,1.71,/en/squads/d298ef2c/2019-2020/Saint-Etienne-Stats
25,25.8,49.6,27,297,2430,27,32,21,53,29,3,4,47,1,34.2,31.1,22.9,54.0,492,982,1.19,0.78,1.96,1.07,1.85,1.27,0.85,2.11,1.15,2.0,/en/squads/c0d3eab4/2019-2020/Strasbourg-Stats
30,25.1,44.2,28,308,2520,28,21,14,35,17,4,6,49,5,31.7,27.2,19.6,46.8,556,949,0.75,0.5,1.25,0.61,1.11,1.13,0.7,1.84,0.97,1.67,/en/squads/3f8c4b5f/2019-2020/Toulouse-Stats
31,27.9,46.4,38,418,3420,38,40,23,63,35,5,6,65,2,41.6,36.9,26.4,63.3,614,1435,1.05,0.61,1.66,0.92,1.53,1.1,0.7,1.79,0.97,1.67,/en/squads/69236f98/2020-2021/Angers-Stats
28,27.6,49.8,38,418,3420,38,41,32,73,37,4,4,78,4,43.5,40.4,31.4,71.7,644,1303,1.08,0.84,1.92,0.97,1.82,1.14,0.83,1.97,1.06,1.89,/en/squads/123f3efe/2020-2021/Bordeaux-Stats
26,24.9,49.3,38,418,3420,38,48,31,79,45,3,4,62,4,50.0,46.8,36.0,82.8,685,1438,1.26,0.82,2.08,1.18,2.0,1.32,0.95,2.26,1.23,2.18,/en/squads/fb08dbb3/2020-2021/Brest-Stats
33,25.7,46.2,38,418,3420,38,25,15,40,22,3,5,76,5,33.7,29.9,22.6,52.6,528,1204,0.66,0.39,1.05,0.58,0.97,0.89,0.6,1.48,0.79,1.38,/en/squads/8dfb7350/2020-2021/Dijon-Stats
27,26.4,51.1,38,418,3420,38,53,35,88,43,10,12,94,7,56.4,47.3,37.8,85.1,743,1567,1.39,0.92,2.32,1.13,2.05,1.48,0.99,2.48,1.24,2.24,/en/squads/fd4e0f7d/2020-2021/Lens-Stats
21,25.4,53.8,38,418,3420,38,62,39,101,57,5,5,68,2,48.5,44.5,34.4,79.0,713,1660,1.63,1.03,2.66,1.5,2.53,1.28,0.91,2.18,1.17,2.08,/en/squads/cb188c0c/2020-2021/Lille-Stats
27,26.8,44.6,38,418,3420,38,49,26,75,40,9,10,69,3,48.6,41.4,30.8,72.2,572,1169,1.29,0.68,1.97,1.05,1.74,1.28,0.81,2.09,1.09,1.9,/en/squads/d2c87802/2020-2021/Lorient-Stats
29,25.8,54.9,38,418,3420,38,76,46,122,65,11,11,66,10,81.4,73.0,54.9,127.9,805,1991,2.0,1.21,3.21,1.71,2.92,2.14,1.44,3.59,1.92,3.36,/en/squads/d53c0b06/2020-2021/Lyon-Stats
31,27.2,53.6,38,418,3420,38,53,45,98,49,4,7,98,9,47.0,41.6,36.5,78.0,606,1499,1.39,1.18,2.58,1.29,2.47,1.24,0.96,2.2,1.09,2.05,/en/squads/5725cc7b/2020-2021/Marseille-Stats
27,25.7,45.2,38,418,3420,38,42,28,70,35,7,11,84,4,44.1,35.8,28.3,64.0,744,1221,1.11,0.74,1.84,0.92,1.66,1.16,0.74,1.9,0.94,1.68,/en/squads/f83960ae/2020-2021/Metz-Stats
30,24.8,55.8,38,418,3420,38,76,52,128,64,12,15,78,7,68.7,56.9,46.7,103.6,757,1750,2.0,1.37,3.37,1.68,3.05,1.81,1.23,3.04,1.5,2.73,/en/squads/fd6114db/2020-2021/Monaco-Stats
25,28.0,45.7,38,418,3420,38,60,42,102,58,2,5,65,7,51.9,48.1,33.8,81.8,616,1311,1.58,1.11,2.68,1.53,2.63,1.37,0.89,2.25,1.26,2.15,/en/squads/281b0e73/2020-2021/Montpellier-Stats
25,25.8,43.9,38,418,3420,38,47,28,75,39,8,9,70,4,49.0,42.2,29.4,71.6,656,1350,1.24,0.74,1.97,1.03,1.76,1.29,0.77,2.06,1.11,1.88,/en/squads/d7a486cd/2020-2021/Nantes-Stats
31,23.5,54.3,38,418,3420,38,49,26,75,42,7,7,73,4,48.0,42.7,29.9,72.6,784,1531,1.29,0.68,1.97,1.11,1.79,1.26,0.79,2.05,1.12,1.91,/en/squads/132ebc33/2020-2021/Nice-Stats
33,25.8,44.4,38,418,3420,38,40,26,66,33,7,8,60,5,43.3,37.0,29.9,66.9,520,1200,1.05,0.68,1.74,0.87,1.55,1.14,0.79,1.93,0.97,1.76,/en/squads/1cbf5f9e/2020-2021/Nimes-Stats
33,26.7,63.1,38,418,3420,38,84,52,136,72,12,13,79,7,80.1,70.1,55.6,125.8,909,2089,2.21,1.37,3.58,1.89,3.26,2.11,1.46,3.57,1.85,3.31,/en/squads/e2d8892c/2020-2021/Paris-Saint-Germain-Stats
29,24.6,44.9,38,418,3420,38,39,23,62,34,5,5,77,8,32.7,28.9,21.7,50.6,698,1246,1.03,0.61,1.63,0.89,1.5,0.86,0.57,1.43,0.76,1.33,/en/squads/7fdd64e0/2020-2021/Reims-Stats
32,25.5,59.1,38,418,3420,38,50,39,89,47,3,3,79,5,47.8,45.4,35.3,80.7,741,1883,1.32,1.03,2.34,1.24,2.26,1.26,0.93,2.19,1.2,2.12,/en/squads/b3072e00/2020-2021/Rennes-Stats
40,25.4,48.3,38,418,3420,38,40,28,68,34,6,9,76,2,48.7,41.8,31.6,73.4,616,1229,1.05,0.74,1.79,0.89,1.63,1.28,0.83,2.11,1.1,1.93,/en/squads/d298ef2c/2020-2021/Saint-Etienne-Stats
26,26.8,45.7,38,418,3420,38,49,26,75,39,10,12,58,3,52.8,43.4,32.1,75.5,538,1301,1.29,0.68,1.97,1.03,1.71,1.39,0.84,2.23,1.14,1.99,/en/squads/c0d3eab4/2020-2021/Strasbourg-Stats
30,27.4,48.4,38,418,3420,38,41,25,66,32,9,9,70,4,46.5,39.5,28.4,67.9,659,1349,1.08,0.66,1.74,0.84,1.5,1.22,0.75,1.97,1.04,1.79,/en/squads/69236f98/2021-2022/Angers-Stats
39,25.7,47.4,38,418,3420,38,50,39,89,48,2,4,91,5,44.9,41.9,33.9,75.8,609,1271,1.32,1.03,2.34,1.26,2.29,1.18,0.89,2.07,1.1,2.0,/en/squads/123f3efe/2021-2022/Bordeaux-Stats
25,25.4,43.9,38,418,3420,38,48,32,80,41,7,8,59,2,43.4,37.0,28.7,65.7,666,1349,1.26,0.84,2.11,1.08,1.92,1.14,0.76,1.9,0.97,1.73,/en/squads/fb08dbb3/2021-2022/Brest-Stats
28,26.9,50.0,38,418,3420,38,36,25,61,34,2,3,65,8,44.4,41.9,32.6,74.4,617,1370,0.95,0.66,1.61,0.89,1.55,1.17,0.86,2.03,1.1,1.96,/en/squads/d9676424/2021-2022/Clermont-Foot-Stats
28,26.1,50.7,38,418,3420,38,60,39,99,55,5,5,73,7,50.2,46.4,34.9,81.3,763,1692,1.58,1.03,2.61,1.45,2.47,1.32,0.92,2.24,1.22,2.14,/en/squads/fd4e0f7d/2021-2022/Lens-Stats
26,26.1,50.8,38,418,3420,38,45,29,74,41,4,5,98,6,50.5,46.6,33.7,80.4,725,1487,1.18,0.76,1.95,1.08,1.84,1.33,0.89,2.22,1.23,2.11,/en/squads/cb188c0c/2021-2022/Lille-Stats
29,26.2,44.4,38,418,3420,38,35,20,55,32,3,3,69,4,41.3,39.0,29.7,68.7,569,1258,0.92,0.53,1.45,0.84,1.37,1.09,0.78,1.87,1.03,1.81,/en/squads/d2c87802/2021-2022/Lorient-Stats
30,25.6,58.4,38,418,3420,38,64,45,109,56,8,8,65,6,66.9,60.7,48.3,109.0,781,1756,1.68,1.18,2.87,1.47,2.66,1.76,1.27,3.03,1.6,2.87,/en/squads/d53c0b06/2021-2022/Lyon-Stats
27,25.0,61.7,38,418,3420,38,61,40,101,51,10,10,61,3,58.2,50.5,41.1,91.6,762,1866,1.61,1.05,2.66,1.34,2.39,1.53,1.08,2.61,1.33,2.41,/en/squads/5725cc7b/2021-2022/Marseille-Stats
36,25.9,42.9,38,418,3420,38,33,24,57,32,1,1,94,9,29.2,28.4,21.5,49.9,572,1015,0.87,0.63,1.5,0.84,1.47,0.77,0.57,1.33,0.75,1.31,/en/squads/f83960ae/2021-2022/Metz-Stats
27,24.4,54.1,38,418,3420,38,62,45,107,53,9,9,85,4,59.3,52.3,44.1,96.3,750,1871,1.63,1.18,2.82,1.39,2.58,1.56,1.16,2.72,1.38,2.54,/en/squads/fd6114db/2021-2022/Monaco-Stats
26,25.8,48.2,38,418,3420,38,48,31,79,45,3,4,77,8,42.7,39.6,28.6,68.2,604,1282,1.26,0.82,2.08,1.18,2.0,1.12,0.75,1.88,1.04,1.79,/en/squads/281b0e73/2021-2022/Montpellier-Stats
26,26.1,43.9,38,418,3420,38,53,37,90,48,5,5,80,4,45.5,41.6,34.7,76.3,607,1330,1.39,0.97,2.37,1.26,2.24,1.2,0.91,2.11,1.1,2.01,/en/squads/d7a486cd/2021-2022/Nantes-Stats
27,25.0,51.5,38,418,3420,38,52,35,87,44,8,10,77,6,55.6,48.0,39.0,86.9,732,1474,1.37,0.92,2.29,1.16,2.08,1.46,1.03,2.49,1.26,2.29,/en/squads/132ebc33/2021-2022/Nice-Stats
36,27.8,63.0,38,418,3420,38,88,65,153,81,7,8,79,4,76.7,70.6,55.9,126.6,877,2055,2.32,1.71,4.03,2.13,3.84,2.02,1.47,3.49,1.86,3.33,/en/squads/e2d8892c/2021-2022/Paris-Saint-Germain-Stats
35,24.0,42.2,38,418,3420,38,42,27,69,38,4,6,68,7,37.7,32.8,26.0,58.8,614,1185,1.11,0.71,1.82,1.0,1.71,0.99,0.68,1.68,0.86,1.55,/en/squads/7fdd64e0/2021-2022/Reims-Stats
28,25.3,55.9,38,418,3420,38,81,61,142,77,4,4,56,2,62.8,59.6,47.1,106.7,676,1737,2.13,1.61,3.74,2.03,3.63,1.65,1.24,2.89,1.57,2.81,/en/squads/b3072e00/2021-2022/Rennes-Stats
39,25.1,48.5,38,418,3420,38,41,25,66,36,5,5,81,5,38.3,34.5,26.2,60.7,685,1400,1.08,0.66,1.74,0.95,1.61,1.01,0.69,1.7,0.91,1.6,/en/squads/d298ef2c/2021-2022/Saint-Etienne-Stats
26,27.0,49.5,38,418,3420,38,56,40,96,50,6,8,72,3,55.6,49.4,39.6,89.0,573,1589,1.47,1.05,2.53,1.32,2.37,1.46,1.04,2.51,1.3,2.34,/en/squads/c0d3eab4/2021-2022/Strasbourg-Stats
35,27.1,44.4,38,418,3420,38,35,23,58,29,6,7,75,6,39.2,33.8,27.0,60.8,598,1216,0.92,0.61,1.53,0.76,1.37,1.03,0.71,1.74,0.89,1.6,/en/squads/54195385/2021-2022/Troyes-Stats
28,26.2,38.6,34,374,3060,34,45,29,74,42,3,5,68,2,43.1,39.1,29.7,68.8,411,815,1.32,0.85,2.18,1.24,2.09,1.27,0.87,2.14,1.15,2.02,/en/squads/0cdc4311/2019-2020/Augsburg-Stats
29,26.7,65.1,34,374,3060,34,97,75,172,91,6,6,54,3,89.5,84.8,73.1,157.9,930,2300,2.85,2.21,5.06,2.68,4.88,2.63,2.15,4.78,2.49,4.64,/en/squads/054efa67/2019-2020/Bayern-Munich-Stats
27,25.8,60.4,34,374,3060,34,84,74,158,82,2,2,49,1,61.0,59.5,50.6,110.1,792,1736,2.47,2.18,4.65,2.41,4.59,1.8,1.49,3.28,1.75,3.24,/en/squads/add600ae/2019-2020/Dortmund-Stats
28,27.1,45.6,34,374,3060,34,36,26,62,32,4,4,78,0,35.9,32.7,24.2,56.9,487,1268,1.06,0.76,1.82,0.94,1.71,1.06,0.71,1.77,0.96,1.67,/en/squads/b1278397/2019-2020/Dusseldorf-Stats
27,27.0,50.9,34,374,3060,34,57,45,102,55,2,2,71,4,59.5,58.0,44.8,102.8,677,1389,1.68,1.32,3.0,1.62,2.94,1.75,1.32,3.07,1.71,3.02,/en/squads/f0ac8ee6/2019-2020/Eintracht-Frankfurt-Stats
26,26.4,48.1,34,374,3060,34,46,27,73,41,5,6,43,2,46.7,42.0,33.0,75.0,537,1128,1.35,0.79,2.15,1.21,2.0,1.37,0.97,2.34,1.24,2.21,/en/squads/a486e511/2019-2020/Freiburg-Stats
25,26.3,52.4,34,374,3060,34,64,53,117,60,4,6,77,3,72.0,67.2,53.6,120.8,650,1305,1.88,1.56,3.44,1.76,3.32,2.12,1.58,3.69,1.98,3.55,/en/squads/32f3ee20/2019-2020/Monchengladbach-Stats
32,26.2,44.7,34,374,3060,34,45,35,80,42,3,3,78,4,43.1,40.7,32.7,73.4,546,1073,1.32,1.03,2.35,1.24,2.26,1.27,0.96,2.23,1.2,2.16,/en/squads/2818f8bc/2019-2020/Hertha-BSC-Stats
31,26.0,51.6,34,374,3060,34,52,36,88,49,3,4,66,2,56.1,53.0,40.2,93.2,598,1261,1.53,1.06,2.59,1.44,2.5,1.65,1.18,2.83,1.56,2.74,/en/squads/033ea6b8/2019-2020/Hoffenheim-Stats
29,25.6,46.7,34,374,3060,34,50,38,88,48,2,4,79,4,48.9,46.3,35.6,81.9,494,1158,1.47,1.12,2.59,1.41,2.53,1.44,1.05,2.49,1.36,2.41,/en/squads/bc357bf7/2019-2020/Koln-Stats
24,26.1,63.2,34,374,3060,34,57,48,105,55,2,2,61,6,59.1,57.5,48.6,106.1,761,1471,1.68,1.41,3.09,1.62,3.03,1.74,1.43,3.17,1.69,3.12,/en/squads/c7a9f859/2019-2020/Bayer-Leverkusen-Stats
25,24.6,43.2,34,374,3060,34,42,34,76,39,3,3,75,3,48.2,45.8,37.4,83.2,524,1146,1.24,1.0,2.24,1.15,2.15,1.42,1.1,2.52,1.35,2.45,/en/squads/a224b06a/2019-2020/Mainz-05-Stats
27,25.7,45.9,34,374,3060,34,37,26,63,35,2,4,84,3,39.2,36.1,26.8,62.9,682,1009,1.09,0.76,1.85,1.03,1.79,1.15,0.79,1.94,1.06,1.85,/en/squads/d9f93f02/2019-2020/Paderborn-07-Stats
29,24.2,55.3,34,374,3060,34,81,58,139,76,5,5,53,3,71.3,67.6,54.4,122.0,759,1700,2.38,1.71,4.09,2.24,3.94,2.1,1.6,3.7,1.99,3.59,/en/squads/acbb6a5b/2019-2020/RB-Leipzig-Stats
29,24.6,49.0,34,374,3060,34,35,25,60,33,2,2,64,2,37.8,36.2,25.5,61.7,603,1201,1.03,0.74,1.76,0.97,1.71,1.11,0.75,1.86,1.07,1.82,/en/squads/c539e393/2019-2020/Schalke-04-Stats
26,27.7,41.9,34,374,3060,34,38,27,65,34,4,5,71,5,41.4,37.6,28.0,65.7,387,944,1.12,0.79,1.91,1.0,1.79,1.22,0.82,2.04,1.11,1.93,/en/squads/7a41008f/2019-2020/Union-Berlin-Stats
30,26.7,48.8,34,374,3060,34,40,30,70,37,3,6,80,4,39.4,34.7,25.8,60.5,509,1309,1.18,0.88,2.06,1.09,1.97,1.16,0.76,1.92,1.02,1.78,/en/squads/62add3bf/2019-2020/Werder-Bremen-Stats
26,26.0,48.4,34,374,3060,34,48,33,81,44,4,4,71,4,52.8,49.7,37.9,87.6,620,1247,1.41,0.97,2.38,1.29,2.26,1.55,1.11,2.67,1.46,2.58,/en/squads/4eaa11d7/2019-2020/Wolfsburg-Stats
26,26.0,42.3,34,374,3060,34,23,16,39,22,1,2,52,1,32.9,31.3,23.9,55.2,358,880,0.68,0.47,1.15,0.65,1.12,0.97,0.7,1.67,0.92,1.62,/en/squads/247c4b67/2020-2021/Arminia-Stats
25,27.0,41.4,34,374,3060,34,35,23,58,33,2,5,71,4,37.3,33.4,25.9,59.3,431,987,1.03,0.68,1.71,0.97,1.65,1.1,0.76,1.86,0.98,1.74,/en/squads/0cdc4311/2020-2021/Augsburg-Stats
29,27.3,60.7,34,374,3060,34,98,75,173,89,9,10,44,3,75.9,68.1,55.2,123.3,829,2084,2.88,2.21,5.09,2.62,4.82,2.23,1.62,3.86,2.0,3.63,/en/squads/054efa67/2020-2021/Bayern-Munich-Stats
26,25.6,59.6,34,374,3060,34,74,57,131,71,3,7,44,1,66.2,60.4,51.2,111.5,763,1745,2.18,1.68,3.85,2.09,3.76,1.95,1.5,3.45,1.78,3.28,/en/squads/add600ae/2020-2021/Dortmund-Stats
25,27.2,53.7,34,374,3060,34,63,52,115,55,8,8,82,1,58.5,52.2,44.0,96.2,664,1548,1.85,1.53,3.38,1.62,3.15,1.72,1.29,3.01,1.54,2.83,/en/squads/f0ac8ee6/2020-2021/Eintracht-Frankfurt-Stats
24,26.2,47.3,34,374,3060,34,51,34,85,45,6,6,62,0,45.5,40.9,29.5,70.4,463,1170,1.5,1.0,2.5,1.32,2.32,1.34,0.87,2.21,1.2,2.07,/en/squads/a486e511/2020-2021/Freiburg-Stats
23,26.9,51.7,34,374,3060,34,63,44,107,53,10,11,61,2,54.9,46.5,37.1,83.6,613,1371,1.85,1.29,3.15,1.56,2.85,1.62,1.09,2.71,1.37,2.46,/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats
32,25.4,49.6,34,374,3060,34,40,29,69,36,4,6,67,3,41.9,37.2,29.1,66.2,589,1176,1.18,0.85,2.03,1.06,1.91,1.23,0.86,2.09,1.09,1.95,/en/squads/2818f8bc/2020-2021/Hertha-BSC-Stats
30,25.7,51.2,34,374,3060,34,51,38,89,46,5,6,68,4,51.9,47.3,37.4,84.6,581,1517,1.5,1.12,2.62,1.35,2.47,1.53,1.1,2.62,1.39,2.49,/en/squads/033ea6b8/2020-2021/Hoffenheim-Stats
28,24.9,46.3,34,374,3060,34,33,23,56,29,4,6,63,1,40.5,35.9,25.5,61.5,429,1131,0.97,0.68,1.65,0.85,1.53,1.19,0.75,1.94,1.06,1.81,/en/squads/bc357bf7/2020-2021/Koln-Stats
30,25.4,59.7,34,374,3060,34,52,41,93,49,3,3,58,0,46.3,44.0,34.7,78.7,724,1522,1.53,1.21,2.74,1.44,2.65,1.36,1.02,2.38,1.29,2.32,/en/squads/c7a9f859/2020-2021/Bayer-Leverkusen-Stats
31,25.8,40.7,34,374,3060,34,39,23,62,34,5,5,63,1,49.9,46.0,34.9,80.9,442,1046,1.15,0.68,1.82,1.0,1.68,1.47,1.03,2.49,1.35,2.38,/en/squads/a224b06a/2020-2021/Mainz-05-Stats
25,25.0,59.7,34,374,3060,34,59,44,103,51,8,10,57,0,64.4,56.7,43.7,100.4,624,1719,1.74,1.29,3.03,1.5,2.79,1.89,1.28,3.18,1.67,2.95,/en/squads/acbb6a5b/2020-2021/RB-Leipzig-Stats
42,25.9,44.7,34,374,3060,34,24,20,44,24,0,3,74,2,28.7,26.3,20.6,46.9,452,943,0.71,0.59,1.29,0.71,1.29,0.84,0.61,1.45,0.77,1.38,/en/squads/c539e393/2020-2021/Schalke-04-Stats
