players_used,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,url,year,team
26,28,40,308,106,34.4,11.0,3.79,0.12,0.36,19.8,21,2,2,30.4,28.8,0.09,9.6,9.2,/en/squads/123f3efe/2019-2020/Bordeaux-Stats,2019-2020,"(None, None)"
24,28,32,320,97,30.3,11.43,3.46,0.1,0.32,19.2,7,1,5,30.7,26.8,0.08,1.3,4.2,/en/squads/fb08dbb3/2019-2020/Brest-Stats,2019-2020,"(None, None)"
28,28,26,335,100,29.9,11.96,3.57,0.07,0.25,18.7,11,1,1,30.5,29.9,0.09,-4.5,-4.9,/en/squads/8dfb7350/2019-2020/Dijon-Stats,2019-2020,"(None, None)"
25,28,35,342,121,35.4,12.21,4.32,0.09,0.25,18.6,10,5,8,40.3,34.0,0.1,-5.3,-4.0,/en/squads/cb188c0c/2019-2020/Lille-Stats,2019-2020,"(None, None)"
27,28,42,354,130,36.7,12.64,4.64,0.1,0.28,19.1,15,5,6,37.6,33.0,0.09,4.4,4.0,/en/squads/d53c0b06/2019-2020/Lyon-Stats,2019-2020,"(None, None)"
23,28,38,370,115,31.1,13.21,4.11,0.09,0.3,19.7,20,4,6,36.2,31.6,0.09,1.8,2.4,/en/squads/5725cc7b/2019-2020/Marseille-Stats,2019-2020,"(None, None)"
24,28,27,306,96,31.4,10.93,3.43,0.08,0.26,20.7,19,2,4,27.1,24.0,0.08,-0.1,1.0,/en/squads/f83960ae/2019-2020/Metz-Stats,2019-2020,"(None, None)"
28,28,44,376,135,35.9,13.43,4.82,0.11,0.3,16.9,16,4,4,48.9,45.7,0.13,-4.9,-5.7,/en/squads/fd6114db/2019-2020/Monaco-Stats,2019-2020,"(None, None)"
27,28,33,348,112,32.2,12.43,4.0,0.09,0.28,19.2,22,2,5,35.3,31.3,0.09,-2.3,-0.3,/en/squads/281b0e73/2019-2020/Montpellier-Stats,2019-2020,"(None, None)"
29,28,23,332,112,33.7,11.86,4.0,0.06,0.19,20.1,9,2,2,30.2,28.7,0.09,-7.2,-7.7,/en/squads/d7a486cd/2019-2020/Nantes-Stats,2019-2020,"(None, None)"
31,28,41,334,125,37.4,11.93,4.46,0.11,0.29,18.9,25,5,5,35.7,31.9,0.1,5.3,4.1,/en/squads/132ebc33/2019-2020/Nice-Stats,2019-2020,"(None, None)"
28,28,29,355,105,29.6,12.68,3.75,0.08,0.26,19.4,12,2,2,30.3,28.7,0.08,-1.3,-1.7,/en/squads/1cbf5f9e/2019-2020/Nimes-Stats,2019-2020,"(None, None)"
31,27,71,441,186,42.2,16.33,6.89,0.15,0.35,15.9,21,6,8,74.2,67.9,0.16,-3.2,-2.9,/en/squads/e2d8892c/2019-2020/Paris-Saint-Germain-Stats,2019-2020,"(None, None)"
26,28,26,333,87,26.1,11.89,3.11,0.06,0.24,19.3,14,5,5,30.6,26.7,0.08,-4.6,-5.7,/en/squads/7fdd64e0/2019-2020/Reims-Stats,2019-2020,"(None, None)"
26,28,37,336,108,32.1,12.0,3.86,0.1,0.31,19.0,27,3,5,37.1,33.4,0.1,-0.1,0.6,/en/squads/b3072e00/2019-2020/Rennes-Stats,2019-2020,"(None, None)"
31,28,28,304,97,31.9,10.86,3.46,0.08,0.24,19.0,15,5,5,31.4,27.6,0.09,-3.4,-4.6,/en/squads/d298ef2c/2019-2020/Saint-Etienne-Stats,2019-2020,"(None, None)"
25,27,32,323,105,32.5,11.96,3.89,0.09,0.28,18.3,13,3,4,34.2,31.1,0.1,-2.2,-2.1,/en/squads/c0d3eab4/2019-2020/Strasbourg-Stats,2019-2020,"(None, None)"
30,28,21,310,90,29.0,11.07,3.21,0.05,0.19,18.5,12,4,6,31.7,27.2,0.09,-10.7,-10.2,/en/squads/3f8c4b5f/2019-2020/Toulouse-Stats,2019-2020,"(None, None)"
31,38,40,401,135,33.7,10.55,3.55,0.09,0.26,18.9,18,5,6,41.6,36.9,0.09,-1.6,-1.9,/en/squads/69236f98/2020-2021/Angers-Stats,2020-2021,"(None, None)"
28,38,41,417,137,32.9,10.97,3.61,0.09,0.27,17.4,20,4,4,43.5,40.4,0.1,-2.5,-3.4,/en/squads/123f3efe/2020-2021/Bordeaux-Stats,2020-2021,"(None, None)"
26,38,48,445,155,34.8,11.71,4.08,0.1,0.29,17.2,26,3,4,50.0,46.8,0.11,-2.0,-1.8,/en/squads/fb08dbb3/2020-2021/Brest-Stats,2020-2021,"(None, None)"
33,38,25,345,87,25.2,9.08,2.29,0.06,0.25,18.2,9,3,5,33.7,29.9,0.09,-8.7,-7.9,/en/squads/8dfb7350/2020-2021/Dijon-Stats,2020-2021,"(None, None)"
27,38,53,434,133,30.6,11.42,3.5,0.1,0.32,18.5,22,10,12,56.4,47.3,0.11,-3.4,-4.3,/en/squads/fd4e0f7d/2020-2021/Lens-Stats,2020-2021,"(None, None)"
21,38,62,481,178,37.0,12.66,4.68,0.12,0.32,19.6,22,5,5,48.5,44.5,0.09,13.5,12.5,/en/squads/cb188c0c/2020-2021/Lille-Stats,2020-2021,"(None, None)"
27,38,49,416,130,31.3,10.95,3.42,0.1,0.31,20.2,30,9,10,48.6,41.4,0.1,0.4,-1.4,/en/squads/d2c87802/2020-2021/Lorient-Stats,2020-2021,"(None, None)"
29,38,76,601,222,36.9,15.82,5.84,0.11,0.29,17.2,23,11,11,81.4,73.0,0.12,-5.4,-8.0,/en/squads/d53c0b06/2020-2021/Lyon-Stats,2020-2021,"(None, None)"
31,38,53,374,128,34.2,9.84,3.37,0.13,0.38,18.1,17,4,7,47.0,41.6,0.11,6.0,7.4,/en/squads/5725cc7b/2020-2021/Marseille-Stats,2020-2021,"(None, None)"
27,38,42,425,127,29.9,11.18,3.34,0.08,0.28,20.6,31,7,11,44.1,35.8,0.08,-2.1,-0.8,/en/squads/f83960ae/2020-2021/Metz-Stats,2020-2021,"(None, None)"
30,38,76,471,160,34.0,12.39,4.21,0.14,0.4,17.2,21,12,15,68.7,56.9,0.12,7.3,7.1,/en/squads/fd6114db/2020-2021/Monaco-Stats,2020-2021,"(None, None)"
25,38,60,459,168,36.6,12.08,4.42,0.13,0.35,17.1,27,2,5,51.9,48.1,0.11,8.1,9.9,/en/squads/281b0e73/2020-2021/Montpellier-Stats,2020-2021,"(None, None)"
25,38,47,402,120,29.9,10.58,3.16,0.1,0.33,18.9,17,8,9,49.0,42.2,0.11,-2.0,-3.2,/en/squads/d7a486cd/2020-2021/Nantes-Stats,2020-2021,"(None, None)"
31,38,49,402,138,34.3,10.58,3.63,0.1,0.3,17.8,17,7,7,48.0,42.7,0.11,1.0,-0.7,/en/squads/132ebc33/2020-2021/Nice-Stats,2020-2021,"(None, None)"
33,38,40,384,131,34.1,10.11,3.45,0.09,0.25,18.6,17,7,8,43.3,37.0,0.1,-3.3,-4.0,/en/squads/1cbf5f9e/2020-2021/Nimes-Stats,2020-2021,"(None, None)"
33,38,84,557,200,35.9,14.66,5.26,0.13,0.36,17.0,33,12,13,80.1,70.1,0.13,3.9,1.9,/en/squads/e2d8892c/2020-2021/Paris-Saint-Germain-Stats,2020-2021,"(None, None)"
29,38,39,358,122,34.1,9.42,3.21,0.09,0.28,19.4,15,5,5,32.7,28.9,0.08,6.3,5.1,/en/squads/7fdd64e0/2020-2021/Reims-Stats,2020-2021,"(None, None)"
32,38,50,510,159,31.2,13.42,4.18,0.09,0.3,18.3,32,3,3,47.8,45.4,0.09,2.2,1.6,/en/squads/b3072e00/2020-2021/Rennes-Stats,2020-2021,"(None, None)"
40,38,40,432,140,32.4,11.37,3.68,0.08,0.24,18.2,17,6,9,48.7,41.8,0.1,-8.7,-7.8,/en/squads/d298ef2c/2020-2021/Saint-Etienne-Stats,2020-2021,"(None, None)"
26,38,49,419,129,30.8,11.03,3.39,0.09,0.3,18.7,17,10,12,52.8,43.4,0.11,-3.8,-4.4,/en/squads/c0d3eab4/2020-2021/Strasbourg-Stats,2020-2021,"(None, None)"
30,38,41,384,123,32.0,10.11,3.24,0.08,0.26,18.2,18,9,9,46.5,39.5,0.11,-5.5,-7.5,/en/squads/69236f98/2021-2022/Angers-Stats,2021-2022,"(None, None)"
39,38,50,446,145,32.5,11.74,3.82,0.11,0.33,19.2,16,2,4,44.9,41.9,0.1,5.1,6.1,/en/squads/123f3efe/2021-2022/Bordeaux-Stats,2021-2022,"(None, None)"
25,38,48,394,138,35.0,10.37,3.63,0.1,0.3,17.4,12,7,8,43.4,37.0,0.1,4.6,4.0,/en/squads/fb08dbb3/2021-2022/Brest-Stats,2021-2022,"(None, None)"
28,38,36,436,134,30.7,11.47,3.53,0.08,0.25,17.7,10,2,3,44.4,41.9,0.1,-8.4,-7.9,/en/squads/d9676424/2021-2022/Clermont-Foot-Stats,2021-2022,"(None, None)"
28,38,60,511,183,35.8,13.45,4.82,0.11,0.3,18.6,14,5,5,50.2,46.4,0.09,9.8,8.6,/en/squads/fd4e0f7d/2021-2022/Lens-Stats,2021-2022,"(None, None)"
26,38,45,461,150,32.5,12.13,3.95,0.09,0.27,17.4,15,4,5,50.5,46.6,0.1,-5.5,-5.6,/en/squads/cb188c0c/2021-2022/Lille-Stats,2021-2022,"(None, None)"
29,38,35,442,146,33.0,11.63,3.84,0.07,0.22,19.3,32,3,3,41.3,39.0,0.09,-6.3,-7.0,/en/squads/d2c87802/2021-2022/Lorient-Stats,2021-2022,"(None, None)"
30,38,64,546,192,35.2,14.37,5.05,0.1,0.29,17.1,18,8,8,66.9,60.7,0.11,-2.9,-4.7,/en/squads/d53c0b06/2021-2022/Lyon-Stats,2021-2022,"(None, None)"
27,38,61,489,157,32.1,12.87,4.13,0.1,0.32,17.8,28,10,10,58.2,50.5,0.1,2.8,0.5,/en/squads/5725cc7b/2021-2022/Marseille-Stats,2021-2022,"(None, None)"
36,38,33,370,112,30.3,9.74,2.95,0.09,0.29,20.5,16,1,1,29.2,28.4,0.08,3.8,3.6,/en/squads/f83960ae/2021-2022/Metz-Stats,2021-2022,"(None, None)"
27,38,62,445,153,34.4,11.71,4.03,0.12,0.35,17.3,17,9,9,59.3,52.3,0.12,2.7,0.7,/en/squads/fd6114db/2021-2022/Monaco-Stats,2021-2022,"(None, None)"
26,38,48,433,151,34.9,11.39,3.97,0.1,0.3,19.6,38,3,4,42.7,39.6,0.09,5.3,5.4,/en/squads/281b0e73/2021-2022/Montpellier-Stats,2021-2022,"(None, None)"
26,38,53,420,145,34.5,11.05,3.82,0.11,0.33,17.2,13,5,5,45.5,41.6,0.1,7.5,6.4,/en/squads/d7a486cd/2021-2022/Nantes-Stats,2021-2022,"(None, None)"
27,38,52,442,144,32.6,11.63,3.79,0.1,0.31,16.9,12,8,10,55.6,48.0,0.11,-3.6,-4.0,/en/squads/132ebc33/2021-2022/Nice-Stats,2021-2022,"(None, None)"
36,38,88,555,202,36.4,14.61,5.32,0.15,0.4,17.3,29,7,8,76.7,70.6,0.13,11.3,10.4,/en/squads/e2d8892c/2021-2022/Paris-Saint-Germain-Stats,2021-2022,"(None, None)"
35,38,42,389,137,35.2,10.24,3.61,0.1,0.28,18.5,5,4,6,37.7,32.8,0.09,4.3,5.2,/en/squads/7fdd64e0/2021-2022/Reims-Stats,2021-2022,"(None, None)"
28,38,81,548,194,35.4,14.42,5.11,0.14,0.4,16.1,14,4,4,62.8,59.6,0.11,18.2,17.4,/en/squads/b3072e00/2021-2022/Rennes-Stats,2021-2022,"(None, None)"
39,38,41,434,141,32.5,11.42,3.71,0.08,0.26,20.0,23,5,5,38.3,34.5,0.08,2.7,1.5,/en/squads/d298ef2c/2021-2022/Saint-Etienne-Stats,2021-2022,"(None, None)"
26,38,56,470,150,31.9,12.37,3.95,0.11,0.33,16.8,10,6,8,55.6,49.4,0.11,0.4,0.6,/en/squads/c0d3eab4/2021-2022/Strasbourg-Stats,2021-2022,"(None, None)"
35,38,35,379,120,31.7,9.97,3.16,0.08,0.24,18.7,9,6,7,39.2,33.8,0.09,-4.2,-4.8,/en/squads/54195385/2021-2022/Troyes-Stats,2021-2022,"(None, None)"
28,34,45,358,129,36.0,10.53,3.79,0.12,0.33,19.0,24,3,5,43.1,39.1,0.11,1.9,2.9,/en/squads/0cdc4311/2019-2020/Augsburg-Stats,2019-2020,"(None, None)"
29,34,97,609,243,39.9,17.91,7.15,0.15,0.37,16.5,13,6,6,89.5,84.8,0.14,7.5,6.2,/en/squads/054efa67/2019-2020/Bayern-Munich-Stats,2019-2020,"(None, None)"
27,34,84,442,188,42.5,13.0,5.53,0.19,0.44,16.7,14,2,2,61.0,59.5,0.14,23.0,22.5,/en/squads/add600ae/2019-2020/Dortmund-Stats,2019-2020,"(None, None)"
28,34,36,424,114,26.9,12.47,3.35,0.08,0.28,20.0,20,4,4,35.9,32.7,0.08,0.1,-0.7,/en/squads/b1278397/2019-2020/Dusseldorf-Stats,2019-2020,"(None, None)"
27,34,57,500,170,34.0,14.71,5.0,0.11,0.32,16.7,16,2,2,59.5,58.0,0.12,-2.5,-3.0,/en/squads/f0ac8ee6/2019-2020/Eintracht-Frankfurt-Stats,2019-2020,"(None, None)"
26,34,46,442,138,31.2,13.0,4.06,0.09,0.3,17.7,27,5,6,46.7,42.0,0.1,-0.7,-1.0,/en/squads/a486e511/2019-2020/Freiburg-Stats,2019-2020,"(None, None)"
25,34,64,475,187,39.4,13.97,5.5,0.13,0.32,17.0,26,4,6,72.0,67.2,0.15,-8.0,-7.2,/en/squads/32f3ee20/2019-2020/Monchengladbach-Stats,2019-2020,"(None, None)"
32,34,45,357,119,33.3,10.5,3.5,0.12,0.35,17.7,12,3,3,43.1,40.7,0.12,1.9,1.3,/en/squads/2818f8bc/2019-2020/Hertha-BSC-Stats,2019-2020,"(None, None)"
31,34,52,447,154,34.5,13.15,4.53,0.11,0.32,17.1,24,3,4,56.1,53.0,0.12,-4.1,-4.0,/en/squads/033ea6b8/2019-2020/Hoffenheim-Stats,2019-2020,"(None, None)"
29,34,50,413,147,35.6,12.15,4.32,0.12,0.33,16.8,20,2,4,48.9,46.3,0.12,1.1,1.7,/en/squads/bc357bf7/2019-2020/Koln-Stats,2019-2020,"(None, None)"
24,34,57,492,182,37.0,14.47,5.35,0.11,0.3,16.7,6,2,2,59.1,57.5,0.12,-2.1,-2.5,/en/squads/c7a9f859/2019-2020/Bayer-Leverkusen-Stats,2019-2020,"(None, None)"
25,34,42,450,139,30.9,13.24,4.09,0.09,0.28,18.9,13,3,3,48.2,45.8,0.1,-6.2,-6.8,/en/squads/a224b06a/2019-2020/Mainz-05-Stats,2019-2020,"(None, None)"
27,34,37,427,124,29.0,12.56,3.65,0.08,0.28,19.7,20,2,4,39.2,36.1,0.09,-2.2,-1.1,/en/squads/d9f93f02/2019-2020/Paderborn-07-Stats,2019-2020,"(None, None)"
29,34,81,545,206,37.8,16.03,6.06,0.14,0.37,17.0,23,5,5,71.3,67.6,0.13,9.7,8.4,/en/squads/acbb6a5b/2019-2020/RB-Leipzig-Stats,2019-2020,"(None, None)"
29,34,35,383,124,32.4,11.26,3.65,0.09,0.27,18.5,10,2,2,37.8,36.2,0.1,-2.8,-3.2,/en/squads/c539e393/2019-2020/Schalke-04-Stats,2019-2020,"(None, None)"
26,34,38,397,130,32.7,11.68,3.82,0.09,0.26,18.0,7,4,5,41.4,37.6,0.1,-3.4,-3.6,/en/squads/7a41008f/2019-2020/Union-Berlin-Stats,2019-2020,"(None, None)"
30,34,40,419,133,31.7,12.32,3.91,0.09,0.28,18.7,11,3,6,39.4,34.7,0.09,0.6,2.3,/en/squads/62add3bf/2019-2020/Werder-Bremen-Stats,2019-2020,"(None, None)"
26,34,48,471,153,32.5,13.85,4.5,0.09,0.29,18.0,12,4,4,52.8,49.7,0.11,-4.8,-5.7,/en/squads/4eaa11d7/2019-2020/Wolfsburg-Stats,2019-2020,"(None, None)"
26,34,23,331,100,30.2,9.74,2.94,0.07,0.22,18.5,14,1,2,32.9,31.3,0.1,-9.9,-9.3,/en/squads/247c4b67/2020-2021/Arminia-Stats,2020-2021,"(None, None)"
25,34,35,332,108,32.5,9.76,3.18,0.1,0.31,18.1,10,2,5,37.3,33.4,0.1,-2.3,-0.4,/en/squads/0cdc4311/2020-2021/Augsburg-Stats,2020-2021,"(None, None)"
29,34,98,572,219,38.3,16.82,6.44,0.16,0.41,16.9,9,9,10,75.9,68.1,0.12,22.1,20.9,/en/squads/054efa67/2020-2021/Bayern-Munich-Stats,2020-2021,"(None, None)"
26,34,74,488,184,37.7,14.35,5.41,0.15,0.39,16.7,14,3,7,66.2,60.4,0.12,7.8,10.6,/en/squads/add600ae/2020-2021/Dortmund-Stats,2020-2021,"(None, None)"
25,34,63,442,162,36.7,13.0,4.76,0.12,0.34,16.3,12,8,8,58.5,52.2,0.12,4.5,2.8,/en/squads/f0ac8ee6/2020-2021/Eintracht-Frankfurt-Stats,2020-2021,"(None, None)"
24,34,51,383,140,36.6,11.26,4.12,0.12,0.32,17.3,17,6,6,45.5,40.9,0.11,5.5,4.1,/en/squads/a486e511/2020-2021/Freiburg-Stats,2020-2021,"(None, None)"
23,34,63,443,165,37.2,13.03,4.85,0.12,0.32,17.4,12,10,11,54.9,46.5,0.11,8.1,6.5,/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats,2020-2021,"(None, None)"
32,34,40,377,142,37.7,11.09,4.18,0.1,0.25,18.4,12,4,6,41.9,37.2,0.1,-1.9,-1.2,/en/squads/2818f8bc/2020-2021/Hertha-BSC-Stats,2020-2021,"(None, None)"
30,34,51,424,149,35.1,12.47,4.38,0.11,0.31,17.5,20,5,6,51.9,47.3,0.11,-0.9,-1.3,/en/squads/033ea6b8/2020-2021/Hoffenheim-Stats,2020-2021,"(None, None)"
28,34,33,354,103,29.1,10.41,3.03,0.08,0.28,17.2,9,4,6,40.5,35.9,0.1,-7.5,-6.9,/en/squads/bc357bf7/2020-2021/Koln-Stats,2020-2021,"(None, None)"
30,34,52,440,164,37.3,12.94,4.82,0.11,0.3,17.9,12,3,3,46.3,44.0,0.1,5.7,5.0,/en/squads/c7a9f859/2020-2021/Bayer-Leverkusen-Stats,2020-2021,"(None, None)"
31,34,39,374,134,35.8,11.0,3.94,0.09,0.25,17.4,10,5,5,49.9,46.0,0.13,-10.9,-12.0,/en/squads/a224b06a/2020-2021/Mainz-05-Stats,2020-2021,"(None, None)"
25,34,59,533,189,35.5,15.68,5.56,0.1,0.27,17.4,19,8,10,64.4,56.7,0.11,-5.4,-5.7,/en/squads/acbb6a5b/2020-2021/RB-Leipzig-Stats,2020-2021,"(None, None)"
42,34,24,301,81,26.9,8.85,2.38,0.08,0.3,18.4,11,0,3,28.7,26.3,0.09,-4.7,-2.3,/en/squads/c539e393/2020-2021/Schalke-04-Stats,2020-2021,"(None, None)"
29,34,54,448,150,33.5,13.18,4.41,0.11,0.32,17.7,12,6,8,51.4,45.1,0.1,2.6,2.9,/en/squads/598bc722/2020-2021/Stuttgart-Stats,2020-2021,"(None, None)"
27,34,50,391,132,33.8,11.5,3.88,0.12,0.34,17.3,8,5,7,46.9,41.3,0.11,3.1,3.7,/en/squads/7a41008f/2020-2021/Union-Berlin-Stats,2020-2021,"(None, None)"
27,34,35,356,120,33.7,10.47,3.53,0.08,0.25,19.0,14,5,5,32.9,29.0,0.08,2.1,1.0,/en/squads/62add3bf/2020-2021/Werder-Bremen-Stats,2020-2021,"(None, None)"
26,34,57,475,164,34.5,13.97,4.82,0.12,0.34,18.1,14,2,3,49.0,46.9,0.1,8.0,8.1,/en/squads/4eaa11d7/2020-2021/Wolfsburg-Stats,2020-2021,"(None, None)"
26,34,26,361,109,30.2,10.62,3.21,0.07,0.22,19.7,10,2,2,26.3,24.7,0.07,-0.3,-0.7,/en/squads/247c4b67/2021-2022/Arminia-Stats,2021-2022,"(None, None)"
26,34,39,362,117,32.3,10.65,3.44,0.09,0.29,17.8,11,5,5,36.7,32.8,0.09,2.3,1.2,/en/squads/0cdc4311/2021-2022/Augsburg-Stats,2021-2022,"(None, None)"
30,34,92,668,255,38.2,19.65,7.5,0.13,0.34,16.7,12,5,5,89.0,85.1,0.13,3.0,1.9,/en/squads/054efa67/2021-2022/Bayern-Munich-Stats,2021-2022,"(None, None)"
28,34,37,409,136,33.3,12.03,4.0,0.08,0.24,18.2,17,4,6,40.6,35.9,0.09,-3.6,-2.9,/en/squads/b42c6323/2021-2022/Bochum-Stats,2021-2022,"(None, None)"
33,34,81,442,165,37.3,13.0,4.85,0.16,0.42,16.7,20,11,11,64.0,55.9,0.13,17.0,14.1,/en/squads/add600ae/2021-2022/Dortmund-Stats,2021-2022,"(None, None)"
27,34,43,446,136,30.5,13.12,4.0,0.09,0.31,17.8,14,1,2,41.6,40.1,0.09,1.4,1.9,/en/squads/f0ac8ee6/2021-2022/Eintracht-Frankfurt-Stats,2021-2022,"(None, None)"
26,34,55,457,153,33.5,13.44,4.5,0.11,0.33,16.7,20,5,6,50.4,45.7,0.1,4.6,4.3,/en/squads/a486e511/2021-2022/Freiburg-Stats,2021-2022,"(None, None)"
26,34,54,489,174,35.6,14.38,5.12,0.1,0.28,16.8,13,5,7,56.2,50.6,0.11,-2.2,-1.6,/en/squads/32f3ee20/2021-2022/Monchengladbach-Stats,2021-2022,"(None, None)"
29,34,26,309,96,31.1,9.09,2.82,0.07,0.22,18.2,13,5,5,30.0,26.2,0.09,-4.0,-5.2,/en/squads/12192a4c/2021-2022/Greuther-Furth-Stats,2021-2022,"(None, None)"
36,34,35,365,119,32.6,10.74,3.5,0.09,0.27,17.5,15,3,3,33.3,30.9,0.09,1.7,1.1,/en/squads/2818f8bc/2021-2022/Hertha-BSC-Stats,2021-2022,"(None, None)"
32,34,55,452,150,33.2,13.29,4.41,0.12,0.37,15.1,13,0,0,58.3,58.3,0.13,-3.3,-3.3,/en/squads/033ea6b8/2021-2022/Hoffenheim-Stats,2021-2022,"(None, None)"
26,34,52,467,149,31.9,13.74,4.38,0.11,0.34,16.3,9,1,1,50.1,49.3,0.11,1.9,1.7,/en/squads/bc357bf7/2021-2022/Koln-Stats,2021-2022,"(None, None)"
29,34,76,453,184,40.6,13.32,5.41,0.16,0.4,16.4,11,2,6,62.6,57.8,0.13,13.4,16.2,/en/squads/c7a9f859/2021-2022/Bayer-Leverkusen-Stats,2021-2022,"(None, None)"
28,34,49,465,151,32.5,13.68,4.44,0.1,0.3,17.6,22,4,4,50.4,47.2,0.1,-1.4,-2.2,/en/squads/a224b06a/2021-2022/Mainz-05-Stats,2021-2022,"(None, None)"
29,34,72,429,169,39.4,12.62,4.97,0.15,0.38,16.3,18,8,9,64.5,58.4,0.14,7.5,5.6,/en/squads/acbb6a5b/2021-2022/RB-Leipzig-Stats,2021-2022,"(None, None)"
34,34,40,449,153,34.1,13.21,4.5,0.09,0.25,17.5,10,1,3,43.7,41.4,0.09,-3.7,-2.4,/en/squads/598bc722/2021-2022/Stuttgart-Stats,2021-2022,"(None, None)"
28,34,50,408,149,36.5,12.0,4.38,0.11,0.3,16.2,7,5,5,47.0,43.3,0.11,3.0,1.7,/en/squads/7a41008f/2021-2022/Union-Berlin-Stats,2021-2022,"(None, None)"
30,34,42,416,137,32.9,12.24,4.03,0.09,0.28,17.9,19,3,4,47.7,44.9,0.11,-5.7,-5.9,/en/squads/4eaa11d7/2021-2022/Wolfsburg-Stats,2021-2022,"(None, None)"
30,38,96,700,256,36.6,18.42,6.74,0.13,0.35,17.3,31,7,10,83.5,75.6,0.11,12.5,13.4,/en/squads/922493f3/2019-2020/Atalanta-Stats,2019-2020,"(None, None)"
31,38,48,549,160,29.1,14.45,4.21,0.08,0.27,18.8,29,5,6,56.9,52.2,0.1,-8.9,-9.2,/en/squads/1d8099f8/2019-2020/Bologna-Stats,2019-2020,"(None, None)"
32,38,34,414,138,33.3,10.89,3.63,0.07,0.22,17.9,32,4,4,43.4,40.2,0.1,-9.4,-10.2,/en/squads/4ef57aeb/2019-2020/Brescia-Stats,2019-2020,"(None, None)"
33,38,50,438,136,31.1,11.53,3.58,0.11,0.34,19.5,16,4,6,41.8,37.1,0.09,8.2,8.9,/en/squads/c4260e09/2019-2020/Cagliari-Stats,2019-2020,"(None, None)"
33,38,48,538,170,31.6,14.16,4.47,0.07,0.23,18.2,23,9,11,53.6,45.4,0.09,-5.6,-6.4,/en/squads/421387cf/2019-2020/Fiorentina-Stats,2019-2020,"(None, None)"
34,38,46,420,140,33.3,11.05,3.68,0.08,0.25,19.2,24,11,16,48.7,36.2,0.09,-2.7,-1.2,/en/squads/658bf2de/2019-2020/Genoa-Stats,2019-2020,"(None, None)"
30,38,45,435,146,33.6,11.45,3.84,0.09,0.25,17.4,12,8,9,50.5,43.6,0.1,-5.5,-6.6,/en/squads/0e72edf2/2019-2020/Hellas-Verona-Stats,2019-2020,"(None, None)"
29,38,80,607,216,35.6,15.97,5.68,0.12,0.32,17.6,22,10,11,69.4,60.8,0.1,10.6,9.2,/en/squads/d609edc0/2019-2020/Internazionale-Stats,2019-2020,"(None, None)"
30,38,73,665,224,33.7,17.5,5.89,0.09,0.27,19.0,40,13,14,71.1,60.1,0.09,1.9,-0.1,/en/squads/e0652b02/2019-2020/Juventus-Stats,2019-2020,"(None, None)"
27,38,77,562,204,36.3,14.79,5.37,0.11,0.3,18.2,21,15,18,68.0,53.9,0.1,9.0,8.1,/en/squads/7213da33/2019-2020/Lazio-Stats,2019-2020,"(None, None)"
30,38,52,513,165,32.2,13.5,4.34,0.08,0.25,19.6,19,11,15,54.7,43.5,0.09,-2.7,-2.5,/en/squads/ffcbe334/2019-2020/Lecce-Stats,2019-2020,"(None, None)"
32,38,60,610,186,30.5,16.05,4.89,0.09,0.28,19.0,24,8,9,62.8,56.0,0.09,-2.8,-4.0,/en/squads/dc56fe14/2019-2020/Milan-Stats,2019-2020,"(None, None)"
25,38,60,683,225,32.9,17.97,5.92,0.08,0.24,19.0,17,5,5,61.7,57.8,0.09,-1.7,-2.8,/en/squads/d48ad4ff/2019-2020/Napoli-Stats,2019-2020,"(None, None)"
25,38,53,458,145,31.7,12.05,3.82,0.11,0.34,19.0,23,4,6,48.4,43.7,0.1,4.6,5.3,/en/squads/eab4234c/2019-2020/Parma-Stats,2019-2020,"(None, None)"
31,38,73,630,198,31.4,16.58,5.21,0.1,0.31,18.7,35,12,14,73.2,62.8,0.1,-0.2,-1.8,/en/squads/cf74a709/2019-2020/Roma-Stats,2019-2020,"(None, None)"
34,38,27,462,117,25.3,12.16,3.08,0.05,0.19,19.4,23,5,7,40.7,35.2,0.08,-13.7,-13.2,/en/squads/1d2fe027/2019-2020/SPAL-Stats,2019-2020,"(None, None)"
31,38,48,549,161,29.3,14.45,4.24,0.07,0.24,19.4,25,9,12,50.2,40.8,0.08,-2.2,-1.8,/en/squads/8ff9e3b3/2019-2020/Sampdoria-Stats,2019-2020,"(None, None)"
31,38,69,547,191,34.9,14.39,5.03,0.12,0.34,19.8,32,5,6,52.9,48.2,0.09,16.1,15.8,/en/squads/e2befd26/2019-2020/Sassuolo-Stats,2019-2020,"(None, None)"
27,38,44,438,144,32.9,11.53,3.79,0.08,0.26,18.4,21,7,8,44.8,39.4,0.09,-0.8,-2.4,/en/squads/105360fe/2019-2020/Torino-Stats,2019-2020,"(None, None)"
25,38,37,469,141,30.1,12.34,3.71,0.08,0.26,18.5,12,0,0,41.6,41.6,0.09,-4.6,-4.6,/en/squads/04eea015/2019-2020/Udinese-Stats,2019-2020,"(None, None)"
30,38,90,614,221,36.0,16.16,5.82,0.14,0.38,16.6,28,6,7,74.7,69.3,0.12,15.3,14.7,/en/squads/922493f3/2020-2021/Atalanta-Stats,2020-2021,"(None, None)"
