team,No of players,90s played,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Dijon,30.5,33,25.5,340,93.5,27.55,10.52,2.93,0.065,0.25,18.45,10,2,3,32.1,29.9,0.09,-6.6,-6.4
Dortmund,28.66666667,34,79.66666667,457.3333333,179,39.16666667,13.45,5.263333333,0.166666667,0.416666667,16.7,16,5.333333333,6.666666667,63.73333333,58.6,0.13,15.93333333,15.73333333
Dusseldorf,28,34,36,424,114,26.9,12.47,3.35,0.08,0.28,20,20,4,4,35.9,32.7,0.08,0.1,-0.7
Eibar,28,38,33.5,431,129.5,30.1,11.345,3.405,0.065,0.215,18.5,17.5,5.5,9.5,43.6,36.25,0.085,-10.1,-8.25
Eintracht Frankfurt,26.33333333,34,54.33333333,462.6666667,156,33.73333333,13.61,4.586666667,0.106666667,0.323333333,16.93333333,14,3.666666667,4,53.2,50.1,0.11,1.133333333,0.566666667
Elche,29,38,36,299.5,96,32.1,7.88,2.525,0.115,0.36,17.4,10,1.5,2,31.8,30.2,0.105,4.2,4.3
Empoli,28,38,47,490,151,30.8,12.89,3.97,0.08,0.26,18.5,16,7,7,44.9,39.3,0.08,2.1,0.7
Espanyol,32.5,38,32,405,124,30.65,10.66,3.265,0.065,0.225,19.3,22,4.5,4.5,37.65,34.25,0.085,-5.65,-6.75
Everton,28.66666667,38,43,431,144,33.46666667,11.34333333,3.786666667,0.09,0.276666667,17.1,17.66666667,3.666666667,4.333333333,45.9,42.56666667,0.1,-2.9,-3.233333333
Fiorentina,30.33333333,38,50.33333333,468.3333333,152.3333333,32.43333333,12.32333333,4.01,0.09,0.283333333,17.43333333,20.66666667,8,9.666666667,52.83333333,45.46666667,0.103333333,-2.5,-3.133333333
Freiburg,25.33333333,34,50.66666667,427.3333333,143.6666667,33.76666667,12.56666667,4.226666667,0.106666667,0.316666667,17.23333333,21.33333333,5.333333333,6,47.53333333,42.86666667,0.103333333,3.133333333,2.466666667
Fulham,28,38,26,436,125,28.7,11.47,3.29,0.05,0.18,18.3,12,3,6,40.5,35.9,0.08,-14.5,-12.9
Genoa,36,38,39.33333333,385,122,31.83333333,10.13,3.21,0.083333333,0.263333333,18.66666667,15.66666667,7,9,41.56666667,34.53333333,0.093333333,-2.233333333,-2.2
Getafe,30.66666667,38,33.33333333,389,109.6666667,28.16666667,10.23666667,2.883333333,0.076666667,0.266666667,19.33333333,28,4,5.666666667,35.1,30.63333333,0.08,-1.766666667,-1.3
